t_offset_ms,bpm,breathing_rpm
0,64,
491,64,
1451,64,
2412,64,
3373,64,
4332,63,
5291,63,
6252,63,
7212,62,
8172,62,
9132,63,
10091,63,
11052,63,
12012,64,
13452,64,
14410,66,
15356,67,
16320,67,
17280,68,
18236,68,
19245,67,
20702,66,
21120,65,
22141,65,
24001,64,
24003,64,
25500,64,
26455,65,
27428,65,
28439,66,
29335,66,
30296,65,
31200,65,
32653,64,
33171,64,
34137,64,
35098,64,
36057,64,
37501,64,
38463,64,
39420,64,
40373,63,
41344,62,
42754,61,
43210,60,
44242,60,
45132,59,
46129,59,
47052,59,
48013,59,
49487,59,
50462,60,
51404,61,
52384,62,
53339,62,
54299,63,
55272,63,
56224,64,
57185,65,
58139,66,
59037,67,
59996,69,
61439,70,
62410,71,
63372,73,
64333,73,
65282,74,
66253,74,
67213,74,
68156,74,
69133,73,
70093,73,
71053,72,
72013,72,
73452,72,
74462,71,
75412,71,
76380,71,
77338,70,
78297,70,
79212,69,
80214,69,
81180,69,
82137,69,
83097,70,
84061,70,
85500,70,
86459,69,
87373,68,
88333,67,
89294,67,
90240,65,
91213,65,
93130,65,
93131,65,
94092,65,
95038,65,
95994,66,
97436,66,
98879,66,
99354,66,
100316,65,
101290,65,
102244,65,
103213,65,
104173,65,
105131,64,
106096,63,
107036,62,
108969,61,
109439,61,
110393,61,
111352,61,
112313,61,
113273,61,
114237,62,
116152,62,
116153,63,
117115,65,
118075,66,
119033,67,
119993,70,
121433,71,
122394,72,
123355,73,
124314,74,
125275,74,
126237,76,
127196,76,
128155,78,
129115,79,
130074,80,
131038,81,
131992,81,
133438,83,
134396,83,
135353,84,
136314,85,
137278,85,
138237,84,
139195,83,
140155,83,
141116,82,
142075,81,
143035,81,
143993,80,
145433,80,
146395,80,
147352,80,
148316,80,
149274,79,
150237,79,
151195,79,
152158,79,
153117,79,
154076,79,
155035,80,
155997,81,
157435,82,
158396,84,
159357,86,
160315,87,
161275,90,
162237,92,
163194,93,
164155,95,
165118,96,
166074,97,
167037,98,
167996,99,
169436,100,
170396,101,
171353,102,
172316,102,
173275,102,
174237,103,
175193,103,
176155,103,
177116,103,
178078,104,
179035,104,
179995,104,
181437,105,
182397,105,
183355,105,
184318,106,
185274,106,
186236,106,
187196,106,
188156,107,
189115,107,
190076,108,
191037,108,
191993,109,
193437,109,
194396,109,
195356,110,
196314,110,
197274,110,
198235,110,
199194,111,
201117,111,
201120,111,
202076,112,
203036,112,
203995,112,
205437,112,
206397,112,
207358,112,
208316,112,
209275,112,
210235,111,
211198,111,
212155,111,
213116,110,
214075,109,
215036,106,
215999,103,
217435,102,
218396,101,
219355,100,
220316,100,
221275,99,
222235,99,
223197,98,
224156,98,
225114,98,
226076,98,
227035,97,
227996,96,
229435,95,
230397,94,
231357,91,
232315,90,
233277,89,
234235,88,
235195,88,
236154,88,
237598,87,
238074,87,
239035,88,
239995,89,
241436,90,
242395,92,
243355,92,
244316,94,
245278,94,
246238,93,
248155,93,
248158,93,
249115,93,
250075,93,
251035,93,
251996,87,
253435,82,
254396,81,
255355,80,
256315,79,
257274,78,
258235,78,
259196,79,
260154,79,
261116,80,
262075,80,
263036,81,
263996,82,
265437,83,
266395,84,
267355,86,
268317,86,
269278,88,
270236,90,
271195,91,
272156,92,
273116,94,
274075,95,
275036,97,
275996,98,
277435,99,
278395,101,
279356,102,
280315,104,
281276,105,
282236,106,
283194,106,
284156,107,
285117,108,
286077,109,
287035,109,
287995,109,
289437,109,
290397,110,
291358,110,
292313,110,
293276,111,
294236,111,
295237,112,
296155,112,
298078,112,
298081,112,
299033,112,
299993,112,
301450,112,
302410,113,
303839,113,
304332,113,
305279,113,
306238,114,
307194,114,
308156,115,
309114,115,
310078,115,
311038,116,
312001,116,
313438,117,
314393,117,
315354,117,
316315,117,
317275,117,
318234,117,
319193,117,
320153,118,
321113,118,
322073,118,
323033,118,
323996,118,
325437,119,
326394,119,
327358,119,
328313,119,
329275,119,
330237,119,
331195,120,
332158,120,
333116,120,
334076,120,
335036,121,
336000,121,
337436,121,
338395,121,
339357,122,
340315,122,
341275,122,
342236,122,
343200,123,
344156,123,
345117,123,
346073,123,
347037,123,
347996,123,
349436,123,
350396,123,
351355,124,
352313,123,
353276,124,
354236,124,
355195,124,
356155,124,
357115,124,
359037,124,
359040,124,
360956,123,
361437,123,
362396,123,
363355,123,
364317,122,
365275,122,
366235,121,
367196,121,
368156,121,
369116,120,
370077,120,
371033,120,
371996,120,
373437,119,
374397,119,
375355,119,
376316,119,
377276,119,
378236,119,
379196,120,
380156,120,
381116,120,
382077,121,
383036,121,
383996,121,
385437,121,
386395,121,
387356,121,
388320,121,
389275,121,
390235,121,
391195,121,
393118,121,
393120,121,
394077,122,
395035,122,
395996,122,
397436,122,
398396,123,
399355,123,
400316,123,
401276,123,
402236,123,
403196,123,
404156,122,
405116,122,
406076,122,
407996,121,
407998,121,
409434,119,
410395,117,
411356,115,
412316,113,
413276,112,
414235,111,
415196,111,
416157,111,
417115,111,
418078,111,
419035,111,
419998,111,
421435,110,
422396,109,
423357,108,
424315,105,
425275,97,
426235,95,
427196,92,
428155,91,
429116,90,
430075,90,
431036,91,
431994,91,
433436,92,
434396,92,
435355,92,
436317,92,
437274,92,
438236,93,
439195,93,
440156,94,
441115,94,
442076,93,
443035,93,
443996,91,
445435,90,
446393,89,
447354,89,
448312,89,
449278,89,
450236,89,
451195,88,
453115,86,
454075,85,
454554,84,
455036,82,
455995,81,
457435,81,
458877,81,
459354,81,
460314,81,
461276,81,
462235,81,
463195,81,
464153,81,
465114,81,
466074,81,
467036,81,
467995,81,
469437,82,
470395,82,
471355,84,
472316,85,
473275,86,
474233,86,
475197,86,
476155,85,
477115,85,
479036,84,
479039,84,
479994,84,
481436,84,
482396,84,
483358,85,
484314,85,
485276,85,
486235,85,
487194,85,
488155,85,
489114,85,
490076,86,
491036,86,
492956,87,
493435,87,
494394,88,
495354,88,
496316,89,
497274,89,
498235,89,
499196,89,
500156,89,
501113,90,
502077,90,
503035,90,
503995,90,
505435,88,
506395,87,
507355,86,
508313,84,
509275,84,
510237,84,
511195,85,
512155,86,
513115,86,
514075,86,
515035,86,
515995,85,
517436,84,
518394,84,
519357,85,
520313,86,
521275,86,
522235,86,
523193,86,
524155,84,
525116,77,
526075,76,
527035,75,
527997,75,
529436,75,
530395,75,
531356,76,
532314,77,
533275,79,
534234,80,
535196,82,
536154,83,
537115,84,
538077,84,
539998,84,
540001,83,
541436,83,
542397,83,
543356,83,
544317,85,
545275,85,
546237,87,
547194,88,
548156,89,
549115,89,
550077,90,
551034,91,
551995,91,
553435,91,
554396,92,
555356,92,
556315,93,
557275,94,
558235,95,
559197,96,
560158,97,
