t_offset_ms,rr_interval_ms,bpm_instantane
0,974,62
974,917,65
1891,915,66
2806,956,63
3762,1034,58
4796,982,61
5778,1012,59
6790,1004,60
7794,963,62
8757,932,64
9689,926,65
10615,919,65
11534,889,67
12423,871,69
13294,861,70
14155,837,72
14992,812,74
15804,805,75
16609,807,74
17416,868,69
18284,951,63
19235,1029,58
20264,993,60
21257,1061,57
22318,1050,57
23368,961,62
24329,918,65
25247,889,67
26136,883,68
27019,857,70
27876,862,70
28738,932,64
29670,969,62
30639,967,62
31606,979,61
32585,984,61
33569,958,63
34527,902,67
35429,938,64
36367,966,62
37333,971,62
38304,955,63
39259,1049,57
40308,1198,50
41506,1159,52
42665,1115,54
43780,1112,54
44892,1070,56
45962,1002,60
46964,992,60
47956,1035,58
48991,968,62
49959,960,62
50919,940,64
51859,847,71
52706,886,68
53592,879,68
54471,889,67
55360,923,65
56283,855,70
57138,844,71
57982,844,71
58826,808,74
59634,776,77
60410,750,80
61160,755,79
61915,750,80
62665,753,80
63418,750,80
64168,760,79
64928,775,77
65703,795,75
66498,807,74
67305,802,75
68107,812,74
68919,836,72
69755,894,67
70649,907,66
71556,869,69
72425,876,68
73301,859,70
74160,878,68
75038,879,68
75917,862,70
76779,895,67
77674,927,65
78601,924,65
79525,874,69
80399,865,69
81264,854,70
82118,852,70
82970,833,72
83803,856,70
84659,913,66
85572,979,61
86551,977,61
87528,987,61
88515,1076,56
89591,1081,56
90672,974,62
91646,926,65
92572,914,66
93486,893,67
94379,867,69
95246,896,67
96142,913,66
97055,900,67
97955,917,65
98872,943,64
99815,953,63
100768,906,66
101674,939,64
102613,975,62
103588,964,62
104552,1018,59
105570,1170,51
106740,1184,51
107924,1049,57
108973,1021,59
109994,980,61
110974,912,66
111886,982,61
112868,1016,59
113884,969,62
114853,885,68
115738,881,68
116619,854,70
117473,815,74
118288,800,75
119088,775,77
119863,752,80
120615,757,79
121372,758,79
122130,746,80
122876,753,80
123629,763,79
124392,756,79
125148,755,79
125903,754,80
126657,736,82
127393,723,83
128116,723,83
128839,710,85
129549,706,85
130255,704,85
130959,694,86
131653,695,86
132348,688,87
133036,694,86
133730,684,88
134414,676,89
135090,673,89
135763,679,88
136442,683,88
137125,704,85
137829,703,85
138532,735,82
139267,765,78
140032,777,77
140809,769,78
141578,788,76
142366,780,77
143146,763,79
143909,764,79
144673,782,77
145455,790,76
146245,773,78
147018,757,79
147775,739,81
148514,752,80
149266,764,79
150030,773,78
150803,800,75
151603,769,78
152372,776,77
153148,762,79
153910,747,80
154657,737,81
155394,719,83
156113,709,85
156822,690,87
157512,686,87
158198,669,90
158867,661,91
159528,654,92
160182,643,93
160825,635,94
161460,631,95
162091,619,97
162710,619,97
163329,620,97
163949,610,98
164559,617,97
165176,604,99
165780,605,99
166385,604,99
166989,600,100
167589,596,101
168185,602,100
168787,588,102
169375,591,102
169966,591,102
170557,587,102
171144,587,102
