Phone timestamp;RR-interval [ms]
2026-03-19T12:19:26.987;433
2026-03-19T12:19:27.420;430
2026-03-19T12:19:27.850;428
2026-03-19T12:19:28.278;425
2026-03-19T12:19:28.703;417
2026-03-19T12:19:29.120;430
2026-03-19T12:19:29.550;423
2026-03-19T12:19:29.973;421
2026-03-19T12:19:30.394;419
2026-03-19T12:19:30.813;425
2026-03-19T12:19:31.238;420
2026-03-19T12:19:31.658;421
2026-03-19T12:19:32.079;422
2026-03-19T12:19:32.501;423
2026-03-19T12:19:32.924;648
2026-03-19T12:19:33.572;615
2026-03-19T12:19:34.187;1246
2026-03-19T12:19:35.433;422
2026-03-19T12:19:35.855;417
2026-03-19T12:19:36.272;418
2026-03-19T12:19:36.690;422
2026-03-19T12:19:37.112;418
2026-03-19T12:19:37.530;423
2026-03-19T12:19:37.953;420
2026-03-19T12:19:38.373;418
2026-03-19T12:19:38.791;424
2026-03-19T12:19:39.215;419
2026-03-19T12:19:39.634;417
2026-03-19T12:19:40.051;424
2026-03-19T12:19:40.475;426
2026-03-19T12:19:40.901;422
2026-03-19T12:19:41.323;427
2026-03-19T12:19:41.750;421
2026-03-19T12:19:42.171;429
2026-03-19T12:19:42.600;430
2026-03-19T12:19:43.030;423
2026-03-19T12:19:43.453;427
2026-03-19T12:19:43.880;423
2026-03-19T12:19:44.303;427
2026-03-19T12:19:44.730;425
2026-03-19T12:19:45.155;416
2026-03-19T12:19:45.571;424
2026-03-19T12:19:45.995;427
2026-03-19T12:19:46.422;417
2026-03-19T12:19:46.839;421
2026-03-19T12:19:47.260;420
2026-03-19T12:19:47.680;412
2026-03-19T12:19:48.092;417
2026-03-19T12:19:48.509;417
2026-03-19T12:19:48.926;832
2026-03-19T12:19:49.758;408
2026-03-19T12:19:50.166;293
2026-03-19T12:19:50.459;533
2026-03-19T12:19:50.992;313
2026-03-19T12:19:51.305;505
2026-03-19T12:19:51.810;411
2026-03-19T12:19:52.221;411
2026-03-19T12:19:52.632;396
2026-03-19T12:19:53.028;409
2026-03-19T12:19:53.437;402
2026-03-19T12:19:53.839;409
2026-03-19T12:19:54.248;397
2026-03-19T12:19:54.645;405
2026-03-19T12:19:55.050;409
2026-03-19T12:19:55.459;394
2026-03-19T12:19:55.853;400
2026-03-19T12:19:56.253;399
2026-03-19T12:19:56.652;401
2026-03-19T12:19:57.053;396
2026-03-19T12:19:57.449;400
2026-03-19T12:19:57.849;396
2026-03-19T12:19:58.245;395
2026-03-19T12:19:58.640;399
2026-03-19T12:19:59.039;399
2026-03-19T12:19:59.438;396
2026-03-19T12:19:59.834;397
2026-03-19T12:20:00.231;395
2026-03-19T12:20:00.626;397
2026-03-19T12:20:01.023;399
2026-03-19T12:20:01.422;397
2026-03-19T12:20:01.819;398
2026-03-19T12:20:02.217;400
2026-03-19T12:20:02.617;397
2026-03-19T12:20:03.014;399
2026-03-19T12:20:03.413;398
2026-03-19T12:20:03.811;395
2026-03-19T12:20:04.206;399
2026-03-19T12:20:04.605;397
2026-03-19T12:20:05.002;399
2026-03-19T12:20:05.401;397
2026-03-19T12:20:05.798;399
2026-03-19T12:20:06.197;399
2026-03-19T12:20:06.596;396
2026-03-19T12:20:06.992;396
2026-03-19T12:20:07.388;404
2026-03-19T12:20:07.792;396
2026-03-19T12:20:08.188;398
2026-03-19T12:20:08.586;394
2026-03-19T12:20:08.980;396
2026-03-19T12:20:09.376;399
2026-03-19T12:20:09.775;392
2026-03-19T12:20:10.167;397
2026-03-19T12:20:10.564;396
2026-03-19T12:20:10.960;394
2026-03-19T12:20:11.354;790
2026-03-19T12:20:12.144;397
2026-03-19T12:20:12.541;393
2026-03-19T12:20:12.934;394
2026-03-19T12:20:13.328;396
2026-03-19T12:20:13.724;396
2026-03-19T12:20:14.120;394
2026-03-19T12:20:14.514;395
2026-03-19T12:20:14.909;396
2026-03-19T12:20:15.305;394
2026-03-19T12:20:15.699;395
2026-03-19T12:20:16.094;394
2026-03-19T12:20:16.488;398
2026-03-19T12:20:16.886;392
2026-03-19T12:20:17.278;399
2026-03-19T12:20:17.677;396
2026-03-19T12:20:18.073;389
2026-03-19T12:20:18.462;398
2026-03-19T12:20:18.860;396
2026-03-19T12:20:19.256;390
2026-03-19T12:20:19.646;393
