Phone timestamp;RR-interval [ms]
2026-03-23T18:12:03.316;451
2026-03-23T18:12:03.767;456
2026-03-23T18:12:04.223;461
2026-03-23T18:12:04.684;463
2026-03-23T18:12:05.147;465
2026-03-23T18:12:05.612;472
2026-03-23T18:12:06.084;470
2026-03-23T18:12:06.554;472
2026-03-23T18:12:07.026;472
2026-03-23T18:12:07.498;477
2026-03-23T18:12:07.975;478
2026-03-23T18:12:08.453;477
2026-03-23T18:12:08.930;483
2026-03-23T18:12:09.413;479
2026-03-23T18:12:09.892;478
2026-03-23T18:12:10.370;481
2026-03-23T18:12:10.851;478
2026-03-23T18:12:11.329;478
2026-03-23T18:12:11.807;477
2026-03-23T18:12:12.284;474
2026-03-23T18:12:12.758;470
2026-03-23T18:12:13.228;469
2026-03-23T18:12:13.697;465
2026-03-23T18:12:14.162;464
2026-03-23T18:12:14.626;465
2026-03-23T18:12:15.091;463
2026-03-23T18:12:15.554;463
2026-03-23T18:12:16.017;936
2026-03-23T18:12:16.953;459
2026-03-23T18:12:17.412;472
2026-03-23T18:12:17.884;464
2026-03-23T18:12:18.348;945
2026-03-23T18:12:19.293;314
2026-03-23T18:12:19.607;609
2026-03-23T18:12:20.216;923
2026-03-23T18:12:21.139;460
2026-03-23T18:12:21.599;462
2026-03-23T18:12:22.061;460
2026-03-23T18:12:22.521;455
2026-03-23T18:12:22.976;458
2026-03-23T18:12:23.434;453
2026-03-23T18:12:23.887;450
2026-03-23T18:12:24.337;451
2026-03-23T18:12:24.788;450
2026-03-23T18:12:25.238;455
2026-03-23T18:12:25.693;456
2026-03-23T18:12:26.149;455
2026-03-23T18:12:26.604;456
2026-03-23T18:12:27.060;453
2026-03-23T18:12:27.513;460
2026-03-23T18:12:27.973;466
2026-03-23T18:12:28.439;462
2026-03-23T18:12:28.901;469
2026-03-23T18:12:29.370;461
2026-03-23T18:12:29.831;467
2026-03-23T18:12:30.298;467
2026-03-23T18:12:30.765;468
2026-03-23T18:12:31.233;459
2026-03-23T18:12:31.692;468
2026-03-23T18:12:32.160;465
2026-03-23T18:12:32.625;462
2026-03-23T18:12:33.087;467
2026-03-23T18:12:33.554;465
2026-03-23T18:12:34.019;469
2026-03-23T18:12:34.488;465
2026-03-23T18:12:34.953;468
2026-03-23T18:12:35.421;474
2026-03-23T18:12:35.895;471
2026-03-23T18:12:36.366;475
2026-03-23T18:12:36.841;479
2026-03-23T18:12:37.320;1908
2026-03-23T18:12:39.228;476
2026-03-23T18:12:39.704;470
2026-03-23T18:12:40.174;468
2026-03-23T18:12:40.642;468
2026-03-23T18:12:41.110;464
2026-03-23T18:12:41.574;469
2026-03-23T18:12:42.043;467
2026-03-23T18:12:42.510;464
2026-03-23T18:12:42.974;464
2026-03-23T18:12:43.438;468
2026-03-23T18:12:43.906;474
2026-03-23T18:12:44.380;476
2026-03-23T18:12:44.856;469
2026-03-23T18:12:45.325;475
2026-03-23T18:12:45.800;473
2026-03-23T18:12:46.273;473
2026-03-23T18:12:46.746;472
2026-03-23T18:12:47.218;469
2026-03-23T18:12:47.687;488
2026-03-23T18:12:48.175;486
2026-03-23T18:12:48.661;477
2026-03-23T18:12:49.138;488
2026-03-23T18:12:49.626;471
2026-03-23T18:12:50.097;479
2026-03-23T18:12:50.576;477
2026-03-23T18:12:51.053;464
2026-03-23T18:12:51.517;472
2026-03-23T18:12:51.989;459
2026-03-23T18:12:52.448;462
2026-03-23T18:12:52.910;458
2026-03-23T18:12:53.368;454
2026-03-23T18:12:53.822;456
2026-03-23T18:12:54.278;460
2026-03-23T18:12:54.738;452
2026-03-23T18:12:55.190;451
2026-03-23T18:12:55.641;455
2026-03-23T18:12:56.096;454
